Date,AAPL,ADBE,AMZN,CRM,CSCO,GOOGL,INTC,META,MSFT,NVDA,ORCL,QCOM,TSLA
2020-01-02,72.62083435058594,334.42999267578125,94.90049743652344,165.53944396972656,40.93460464477539,68.0260238647461,53.66646957397461,208.63539123535156,153.04229736328125,5.971746444702148,49.53742980957031,78.48726654052734,28.68400001525879
2020-01-03,71.9148178100586,331.80999755859375,93.74849700927734,164.72657775878906,40.266727447509766,67.67015075683594,53.01372146606445,207.53147888183594,151.1366424560547,5.876163482666016,49.36296463012695,77.00936126708984,29.534000396728516
2020-01-06,72.48784637451172,333.7099914550781,95.14399719238281,171.94332885742188,40.41044998168945,69.47384643554688,52.86376190185547,211.44003295898438,151.52731323242188,5.9008049964904785,49.62007141113281,76.55804443359375,30.1026668548584
2020-01-07,72.14692687988281,333.3900146484375,95.34300231933594,174.47119140625,40.148372650146484,69.33964538574219,51.98167037963867,211.8975067138672,150.14573669433594,5.972243785858154,49.730255126953125,78.73505401611328,31.270666122436523
2020-01-08,73.30754089355469,337.8699951171875,94.59850311279297,175.7896270751953,40.173744201660156,69.83318328857422,52.016944885253906,214.0457305908203,152.5373077392578,5.983445644378662,49.92393493652344,78.50495147705078,32.80933380126953
2020-01-09,74.8646240234375,340.45001220703125,95.05249786376953,178.03993225097656,40.00465774536133,70.5662841796875,52.308048248291016,217.1089324951172,154.44293212890625,6.049160480499268,50.15450668334961,79.56690216064453,32.089332580566406
2020-01-10,75.03385925292969,339.80999755859375,94.15799713134766,178.63470458984375,39.844032287597656,71.02205657958984,51.99049377441406,216.87020874023438,153.72836303710938,6.081518173217773,50.21906661987305,79.87663269042969,31.876667022705078
2020-01-13,76.63691711425781,345.6300048828125,94.56500244140625,182.2530059814453,40.554168701171875,71.57225799560547,52.56385803222656,220.69921875,155.57684326171875,6.272189140319824,50.33897399902344,80.50495910644531,34.990665435791016
2020-01-14,75.6020736694336,344.6300048828125,93.47200012207031,180.5380401611328,40.402000427246094,71.10308074951172,52.4227180480957,217.86477661132812,154.48106384277344,6.15519905090332,50.61566162109375,80.14213562011719,35.861331939697266
2020-01-15,75.2780990600586,342.94000244140625,93.10099792480469,179.4872283935547,40.587989807128906,71.53099822998047,51.99049377441406,219.943359375,155.48146057128906,6.112633228302002,50.50498580932617,79.35452270507812,34.56666564941406
2020-01-16,76.2210464477539,345.3800048828125,93.89700317382812,181.10308837890625,41.467220306396484,72.07574462890625,52.62560272216797,220.55999755859375,158.33047485351562,6.196267604827881,51.122920989990234,81.23063659667969,34.232666015625
2020-01-17,77.06488800048828,349.739990234375,93.23600006103516,180.64706420898438,41.44184494018555,73.53498077392578,52.57268142700195,220.927978515625,159.21658325195312,6.204981327056885,50.84623718261719,84.87667083740234,34.03333282470703
2020-01-21,76.54261016845703,350.0,94.5999984741211,183.6606903076172,41.255863189697266,73.67068481445312,53.410667419433594,220.23179626464844,158.64492797851562,6.171627044677734,50.92924118041992,83.66427612304688,36.47999954223633
2020-01-22,76.81585693359375,350.05999755859375,94.37300109863281,181.16258239746094,41.4841194152832,73.75118255615234,55.333621978759766,220.1124267578125,157.88265991210938,6.225641250610352,50.46808624267578,82.27490234375,37.97066879272461
2020-01-23,77.18578338623047,351.760009765625,94.22899627685547,182.38186645507812,41.42494201660156,73.79193115234375,55.85405731201172,218.5609588623047,158.85452270507812,6.294091701507568,50.7078971862793,81.41647338867188,38.14666748046875
2020-01-24,76.96334838867188,351.3699951171875,93.08200073242188,180.5281219482422,41.29812240600586,72.87146759033203,60.39683151245117,216.7509002685547,157.25376892089844,6.234851360321045,49.86860275268555,79.33682250976562,37.654666900634766
2020-01-27,74.70021057128906,346.8999938964844,91.41699981689453,179.14028930664062,40.1314697265625,71.15972900390625,57.944618225097656,213.69764709472656,154.6239776611328,5.978966236114502,48.59581756591797,77.0359115600586,37.201332092285156
2020-01-28,76.81343078613281,354.6300048828125,92.6624984741211,181.26168823242188,40.38508605957031,72.09263610839844,59.37359619140625,216.60171508789062,157.65396118164062,6.172372817993164,49.30600357055664,78.89434814453125,37.793331146240234
2020-01-29,78.42131042480469,351.6600036621094,92.9000015258789,180.1910858154297,39.776397705078125,72.40079498291016,58.5091552734375,222.0120086669922,160.11224365234375,6.111886024475098,49.066200256347656,78.08018493652344,38.732666015625
2020-01-30,78.30767822265625,356.739990234375,93.53399658203125,184.05718994140625,39.93703079223633,72.27901458740234,58.63264465332031,208.38677978515625,164.6286163330078,6.118607521057129,49.167659759521484,77.68193054199219,42.72066879272461
2020-01-31,74.83560180664062,351.1400146484375,100.43599700927734,180.72634887695312,38.86335372924805,71.21192169189453,56.392127990722656,200.80836486816406,162.19891357421875,5.885122776031494,48.374481201171875,75.4960708618164,43.371334075927734
2020-02-03,74.63008880615234,358.0,100.20999908447266,183.80934143066406,39.33678436279297,73.68807220458984,56.82435989379883,203.07591247558594,166.15313720703125,5.982201099395752,48.964752197265625,76.531494140625,52.0
2020-02-04,77.09388732910156,366.739990234375,102.4834976196289,186.70399475097656,40.25827407836914,71.83965301513672,57.74173355102539,208.68511962890625,171.62232971191406,6.151463508605957,49.84093475341797,78.69965362548828,59.137332916259766
2020-02-05,77.72256469726562,365.54998779296875,101.99349975585938,183.8787384033203,40.959964752197266,71.8714599609375,59.40005111694336,208.96360778808594,171.41270446777344,6.241819858551025,50.486534118652344,80.4518814086914,48.97999954223633
